,Latitude,Longitude,Infected,Population,Species,Road,River,1km,3km,5km,10km
65,15.529992,121.095858,0.0,28000,0,76.37797128,480.1258243,2.0,2.0,4.0,21.0
66,15.498597,121.05234,0.0,80000,0,6.164682188,1255.024341,4.0,6.0,7.0,18.0
67,15.380043,121.027885,0.0,74000,0,10.05163171,666.1858104,5.0,23.0,11.0,38.0
68,15.316108,121.052098,0.0,11000,0,17.30899033,695.6613735,2.0,3.0,6.0,52.0
69,15.323273,121.050538,0.0,42000,0,1.552483746,216.1076281,1.0,4.0,7.0,56.0
70,15.361372,120.859222,0.0,18000,0,6.369861791,1508.539977,0.0,0.0,5.0,19.0
71,15.658305,120.86403,0.0,38000,0,38.59926349,1445.618744,1.0,1.0,0.0,18.0
72,15.55719,121.169565,0.0,25000,0,54.93470543,46.35634974,0.0,0.0,0.0,11.0
73,15.431932,120.859305,0.0,144000,0,13.95442507,651.6778529,3.0,2.0,1.0,8.0
74,15.371995,121.049773,0.0,150000,0,6.331387343,89.35554696,1.0,15.0,20.0,33.0
75,15.36497,121.038468,0.0,90000,0,2.8632921,559.8114044,1.0,16.0,22.0,35.0
76,15.362192,121.038322,0.0,57000,0,1.817174506,766.4162468,2.0,15.0,22.0,35.0
77,15.36425,120.932845,0.0,40000,0,24.77413999,124.0499945,1.0,2.0,6.0,40.0
78,15.329153,121.017672,0.0,12000,0,5.792939045,785.0992247,1.0,4.0,19.0,48.0
79,15.419183,121.026788,0.0,5000,0,22.41092621,271.5639806,0.0,9.0,21.0,45.0
80,15.494813,121.058462,0.0,120000,0,55.4808646,1515.874251,2.0,8.0,6.0,19.0
81,15.402232,120.767965,0.0,16000,0,56.66562768,762.8756313,0.0,1.0,2.0,14.0
82,15.746463,120.765278,0.0,76000,0,1.706185879,288.8214907,0.0,0.0,1.0,9.0
83,15.395215,121.075837,0.0,152000,0,0.439431772,508.1460684,0.0,8.0,12.0,39.0
84,15.696882,121.188142,0.0,36000,0,9.085508727,717.7046336,0.0,0.0,1.0,2.0
85,15.725265,120.898698,0.0,70000,0,2.991384557,205.6152684,1.0,5.0,7.0,13.0
86,15.702703,120.894698,0.0,10000,0,4.016339686,466.7223917,0.0,5.0,8.0,14.0
87,15.36987,120.964977,0.0,45000,0,29.92330493,135.6369139,3.0,5.0,7.0,45.0
88,15.252882,120.87599,0.0,76000,0,0.355794547,310.3752013,0.0,7.0,8.0,17.0
89,15.6432,121.194403,0.0,56000,0,205.1526919,868.2459099,0.0,1.0,0.0,7.0
90,15.37398,120.980215,0.0,38000,0,18.2332151,326.5508647,3.0,7.0,18.0,41.0
91,15.378308,120.983245,0.0,240000,0,162.748183,90.33442606,3.0,7.0,19.0,38.0
92,15.410292,121.005287,0.0,25000,0,43.50746809,254.4949455,0.0,8.0,20.0,40.0
93,15.218912,120.83688,0.0,18000,0,3.305367427,1.320931459,3.0,5.0,3.0,21.0
94,15.614283,121.114313,0.0,40000,0,44.86084781,729.5979608,3.0,1.0,1.0,10.0
95,15.820453,120.689503,0.0,35000,0,1.279313346,1125.778124,1.0,4.0,4.0,4.0
96,15.436802,120.7791,0.0,114000,0,2.023890916,265.7430255,0.0,2.0,2.0,12.0
97,15.695763,120.92912,0.0,36000,0,6.738304089,249.0867071,1.0,6.0,6.0,13.0
98,15.652907,120.959682,0.0,38000,0,2.957670184,362.6663784,0.0,0.0,2.0,16.0
99,15.312337,120.995843,0.0,22000,0,7.099747323,488.0169036,2.0,6.0,5.0,60.0
100,15.504515,120.970657,0.0,20000,0,0.592072055,507.2365784,0.0,2.0,4.0,20.0
101,15.397715,121.015878,0.0,2500,0,11.21424797,370.8823091,2.0,18.0,16.0,40.0
102,15.77748,121.054368,0.0,288000,0,3.544742755,1556.475942,2.0,2.0,1.0,7.0
103,15.310002,120.918982,0.0,19000,0,2.234277828,395.2895556,0.0,2.0,6.0,35.0
104,15.282665,120.914155,0.0,216000,0,10.53032037,925.1936903,1.0,2.0,10.0,18.0
105,15.251985,121.015915,0.0,4500,0,0.606695024,157.9852381,0.0,7.0,8.0,28.0
106,15.381932,121.005438,0.0,38000,0,4.071950976,15.83698056,2.0,19.0,19.0,36.0
107,15.377192,121.071022,0.0,10000,0,23.41550688,590.6925954,2.0,5.0,16.0,39.0
108,15.409237,121.02252,0.0,45000,0,132.3158563,616.1452785,1.0,11.0,19.0,39.0
109,15.399433,121.106027,0.0,76000,0,6.928126716,629.4823656,1.0,1.0,4.0,37.0
110,15.265543,121.03258,0.0,92000,0,4.236576218,916.1938653,1.0,8.0,7.0,26.0
111,15.606847,121.121187,0.0,36000,0,20.01952052,255.5740012,3.0,1.0,0.0,9.0
112,15.5125,121.068013,0.0,57000,0,0.965272008,720.2691109,2.0,9.0,5.0,13.0
113,15.699492,121.120602,0.0,38000,0,7.387879807,966.9000397,0.0,0.0,0.0,12.0
114,15.366782,120.92937,0.0,36000,0,0.891681014,273.6662042,1.0,2.0,7.0,34.0
115,15.528502,120.925555,0.0,38000,0,0.932152927,444.1111727,0.0,2.0,2.0,11.0
116,15.698947,120.885505,0.0,22000,0,10.39625694,757.403033,0.0,3.0,6.0,17.0
117,15.72935,121.066258,0.0,38000,0,75.13231627,533.6330784,0.0,2.0,3.0,7.0
118,15.381187,121.072462,0.0,10000,0,4.729184379,342.5552494,1.0,7.0,15.0,40.0
119,15.315713,120.99906,0.0,45000,0,14.72977844,704.511157,2.0,7.0,4.0,59.0
120,15.547305,120.777853,0.0,76000,0,7.062467957,882.9384926,3.0,2.0,3.0,3.0
121,15.373245,121.020343,0.0,38000,0,15.7346059,89.34398161,5.0,18.0,16.0,39.0
