,Prob,real_outcome
123,0.029644374,0
124,0.384511604,0
125,0.036661398,0
126,0.035097691,0
127,0.336127344,0
128,0.667095636,0
129,0.729640664,0
130,0.393094609,0
131,0.451861105,0
132,0.031242138,0
133,0.360669058,0
134,0.599650085,0
135,0.387430721,0
136,0.000128334,0
137,0.351918864,0
138,0.735479688,0
139,0.01962555,0
140,0.459117467,0
141,0.032591167,0
142,0.302213982,0
143,0.325984467,0
144,0.744866666,0
145,0.705521521,0
146,0.003351109,0
147,0.267447254,0
148,0.683468179,0
149,0.024388298,0
150,0.552956021,0
151,0.425490321,0
152,0.093654307,0
153,0.27073116,0
154,0.538069905,0
155,0.717882833,0
156,0.572817384,0
157,0.369163673,0
158,0.107557678,0
159,0.160331546,0
160,0.428140753,0
161,0.70028967,0
162,0.1039028,0
163,0.362179652,0
164,0.461265941,0
165,0.295549444,0
166,0.730303004,0
167,0.067602533,0
168,0.486368542,0
169,0.73327552,0
170,0.003979428,0
171,0.084229298,0
172,0.494850404,0
173,0.051608464,0
174,0.390413811,0
175,0.144155694,0
176,0.492700684,0
177,0.106777248,0
178,0.786822905,0
179,0.259788928,0
180,0.516441551,0
181,0.19705144,0
182,0.520389122,0
183,0.730473394,0
184,0.155877938,0
185,0.58549338,0
186,0.347619895,0
187,0.499511934,0
188,0.595815291,0
189,0.700026234,0
190,0.214976659,0
191,0.221678165,0
192,0.690091645,0
193,0.679268386,0
194,0.774976777,0
195,0.111988993,0
196,0.581051137,0
197,0.637643923,0
198,0.565429148,0
199,0.606867563,0
200,0.226914776,0
201,0.793783851,0
202,0.368297213,0
203,0.678137706,0
204,0.665194087,0
205,0.348124023,0
206,0.137026226,0
207,0.100633773,0
208,0.580661475,0
209,0.787907338,0
210,0.646513476,0
211,0.519693066,0
212,0.394812315,0
213,0.108327303,0
214,0.219844803,0
215,0.424693947,0
216,0.792009138,0
217,0.503492794,1
218,0.196385173,0
219,0.004886718,0
220,0.279212375,0
221,0.08011477,0
222,0.176202701,0
223,0.012309351,0
224,0.542237229,0
225,0.694020669,1
226,0.686470522,1
227,0.671665616,1
228,0.421433974,0
229,0.507942233,0
230,0.442939052,0
231,0.003340883,0
232,0.477237019,0
233,0.612394689,0
234,0.714092811,0
235,0.421157477,0
236,0.189105635,0
237,0.219093863,0
238,0.273464688,0
239,0.840567715,0
240,0.427630889,0
241,0.177468541,0
242,0.797057885,0
243,0.20112158,0
244,0.170467428,0
245,0.832288413,0
246,0.638586005,0
