Farm_Id,Latitude,Longitude,Infected,Population,Species,Road,River,1km,3km,5km,10km
56,15.396718,121.101367,,16000,0,9.244084306,563.1035405,,,,
57,15.451373,120.876058,,50000,0,0.042163237,192.2400976,,,,
58,15.818393,120.698457,,60000,0,21.17319175,1370.499192,,,,
59,15.562355,120.839082,,10000,0,3.196556387,52.36179163,,,,
60,15.302622,120.975755,,35000,0,6.895564138,316.6622058,,,,
61,15.460457,121.051565,,38000,0,10.44475127,396.9162169,,,,
62,15.29352,120.865698,,76000,0,3.730631214,166.6845986,,,,
63,15.512955,121.064172,,20000,0,6.631804925,541.3955658,,,,
64,15.377498,120.97959,,70000,0,18.3596644,28.08824844,,,,
65,15.235893,120.858077,,28000,0,4.750294691,210.7798543,,,,
66,15.529992,121.095858,,28000,0,76.37797128,480.1258243,,,,
67,15.498597,121.05234,,80000,0,6.164682188,1255.024341,,,,
68,15.380043,121.027885,,74000,0,10.05163171,666.1858104,,,,
69,15.316108,121.052098,,11000,0,17.30899033,695.6613735,,,,
70,15.323273,121.050538,,42000,0,1.552483746,216.1076281,,,,
71,15.361372,120.859222,,18000,0,6.369861791,1508.539977,,,,
72,15.658305,120.86403,,38000,0,38.59926349,1445.618744,,,,
73,15.55719,121.169565,,25000,0,54.93470543,46.35634974,,,,
74,15.431932,120.859305,,144000,0,13.95442507,651.6778529,,,,
75,15.371995,121.049773,,150000,0,6.331387343,89.35554696,,,,
76,15.36497,121.038468,,90000,0,2.8632921,559.8114044,,,,
77,15.362192,121.038322,,57000,0,1.817174506,766.4162468,,,,
78,15.36425,120.932845,,40000,0,24.77413999,124.0499945,,,,
79,15.329153,121.017672,,12000,0,5.792939045,785.0992247,,,,
80,15.419183,121.026788,,5000,0,22.41092621,271.5639806,,,,
81,15.494813,121.058462,,120000,0,55.4808646,1515.874251,,,,
82,15.402232,120.767965,,16000,0,56.66562768,762.8756313,,,,
83,15.746463,120.765278,,76000,0,1.706185879,288.8214907,,,,
84,15.395215,121.075837,,152000,0,0.439431772,508.1460684,,,,
85,15.696882,121.188142,,36000,0,9.085508727,717.7046336,,,,
86,15.725265,120.898698,,70000,0,2.991384557,205.6152684,,,,
87,15.702703,120.894698,,10000,0,4.016339686,466.7223917,,,,
88,15.36987,120.964977,,45000,0,29.92330493,135.6369139,,,,
89,15.252882,120.87599,,76000,0,0.355794547,310.3752013,,,,
90,15.6432,121.194403,,56000,0,205.1526919,868.2459099,,,,
91,15.37398,120.980215,,38000,0,18.2332151,326.5508647,,,,
92,15.378308,120.983245,,240000,0,162.748183,90.33442606,,,,
93,15.410292,121.005287,,25000,0,43.50746809,254.4949455,,,,
94,15.218912,120.83688,,18000,0,3.305367427,1.320931459,,,,
95,15.614283,121.114313,,40000,0,44.86084781,729.5979608,,,,
96,15.820453,120.689503,,35000,0,1.279313346,1125.778124,,,,
97,15.436802,120.7791,,114000,0,2.023890916,265.7430255,,,,
98,15.695763,120.92912,,36000,0,6.738304089,249.0867071,,,,
99,15.652907,120.959682,,38000,0,2.957670184,362.6663784,,,,
100,15.312337,120.995843,,22000,0,7.099747323,488.0169036,,,,
101,15.504515,120.970657,,20000,0,0.592072055,507.2365784,,,,
102,15.397715,121.015878,,2500,0,11.21424797,370.8823091,,,,
103,15.77748,121.054368,,288000,0,3.544742755,1556.475942,,,,
104,15.310002,120.918982,,19000,0,2.234277828,395.2895556,,,,
105,15.282665,120.914155,,216000,0,10.53032037,925.1936903,,,,
106,15.251985,121.015915,,4500,0,0.606695024,157.9852381,,,,
107,15.381932,121.005438,,38000,0,4.071950976,15.83698056,,,,
108,15.377192,121.071022,,10000,0,23.41550688,590.6925954,,,,
109,15.409237,121.02252,,45000,0,132.3158563,616.1452785,,,,
110,15.399433,121.106027,,76000,0,6.928126716,629.4823656,,,,
111,15.265543,121.03258,,92000,0,4.236576218,916.1938653,,,,
112,15.606847,121.121187,,36000,0,20.01952052,255.5740012,,,,
113,15.5125,121.068013,,57000,0,0.965272008,720.2691109,,,,
114,15.699492,121.120602,,38000,0,7.387879807,966.9000397,,,,
115,15.366782,120.92937,,36000,0,0.891681014,273.6662042,,,,
116,15.528502,120.925555,,38000,0,0.932152927,444.1111727,,,,
117,15.698947,120.885505,,22000,0,10.39625694,757.403033,,,,
118,15.72935,121.066258,,38000,0,75.13231627,533.6330784,,,,
119,15.381187,121.072462,,10000,0,4.729184379,342.5552494,,,,
120,15.315713,120.99906,,45000,0,14.72977844,704.511157,,,,
121,15.547305,120.777853,,76000,0,7.062467957,882.9384926,,,,
122,15.373245,121.020343,,38000,0,15.7346059,89.34398161,,,,
123,15.535258,120.93665,,105000,0,213.302122,371.5028924,,,,
124,15.765877,121.004397,,76000,0,0.890243585,315.4692931,,,,
125,15.34168,120.834242,,55000,0,10.7462632,2064.103067,,,,
126,15.339048,120.840618,,90000,0,3.395860794,1614.688584,,,,
127,15.578648,120.833392,,57000,0,59.49127789,417.2758005,,,,
128,15.689592,120.701517,,40000,0,18.07049539,142.0785656,,,,
129,15.424188,121.06547,,12000,0,1.25808364,157.8400458,,,,
130,15.353565,120.887237,,28000,0,21.92450804,780.2802172,,,,
131,15.315073,120.90122,,28000,0,106.0015151,166.5174988,,,,
132,15.764762,121.065027,,80000,0,70.16043173,1640.900419,,,,
133,15.25017,120.850585,,74000,0,5.25594871,417.3665798,,,,
134,15.305807,121.039018,,11000,0,1.627370217,571.5245259,,,,
135,15.307715,121.040297,,42000,0,1.455475619,534.0319295,,,,
136,15.307927,121.04864,,18000,0,858.4982084,208.6416119,,,,
137,15.50357,121.052778,,38000,0,5.205570472,721.9179509,,,,
138,15.359895,121.05593,,25000,0,6.163947688,76.18494749,,,,
139,15.320717,120.864335,,120000,0,7.365404535,1598.205745,,,,
140,15.37627,121.015482,,44000,0,34.68511566,304.6698072,,,,
141,15.783608,121.052183,,105000,0,111.0379196,840.9856835,,,,
